Endpoint,Method,Status Code,Missing Headers,Mismatched Headers,Errors
/api/v1/auth/register,GET,,,,"HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/v1/auth/register (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))"
/api/v1/auth/register,POST,,,,"HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/v1/auth/register (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))"
/api/v1/auth/login,GET,,,,"HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/v1/auth/login (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))"
/api/v1/auth/login,POST,,,,"HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/v1/auth/login (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))"
/api/v1/auth/refresh,GET,,,,"HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/v1/auth/refresh (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))"
/api/v1/auth/me,GET,,,,"HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/v1/auth/me (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))"
/api/v1/jobs,GET,,,,"HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/v1/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))"
/api/v1/jobs/matches,GET,,,,"HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/v1/jobs/matches (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))"
/api/v1/profile,GET,,,,"HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/v1/profile (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))"
/api/v1/profile/resume,GET,,,,"HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/v1/profile/resume (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))"
/api/v1/applications,GET,,,,"HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/v1/applications (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))"
/api/v1/applications,POST,,,,"HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/v1/applications (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))"
/health,GET,,,,"HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))"
